Date,Daily Count,Cumulative Count
2019-10-17,1,252
2019-10-18,0,252
2019-10-19,0,252
2019-10-20,0,252
2019-10-21,0,252
2019-10-22,0,252
2019-10-23,0,252
2019-10-24,0,252
2019-10-25,0,252
2019-10-26,0,252
2019-10-27,0,252
2019-10-28,1,253
2019-10-29,0,253
2019-10-30,0,253
2019-10-31,0,253
2019-11-01,0,253
2019-11-02,0,253
2019-11-03,0,253
2019-11-04,0,253
2019-11-05,0,253
2019-11-06,1,254
2019-11-07,0,254
2019-11-08,0,254
2019-11-09,1,255
2019-11-10,0,255
2019-11-11,0,255
2019-11-12,0,255
2019-11-13,0,255
2019-11-14,0,255
2019-11-15,0,255
2019-11-16,1,256
2019-11-17,0,256
2019-11-18,0,256
2019-11-19,0,256
2019-11-20,0,256
2019-11-21,1,257
2019-11-22,0,257
2019-11-23,0,257
2019-11-24,0,257
2019-11-25,0,257
2019-11-26,0,257
2019-11-27,0,257
2019-11-28,0,257
2019-11-29,0,257
2019-11-30,0,257
2019-12-01,0,257
2019-12-02,0,257
2019-12-03,0,257
2019-12-04,0,257
2019-12-05,0,257
2019-12-06,0,257
2019-12-07,0,257
2019-12-08,0,257
2019-12-09,0,257
2019-12-10,0,257
2019-12-11,1,258
2019-12-12,1,259
